Status,Date,Requested By,Approved By,HL Unit,Product,Prio,Est Dev (hrs),Est Cost (EUR),Decision,Decision date,Est Deliv Date,Feature ID,Description,Justification,RFC Link
INVESTIGATION,2018-03-07,Kinga Lesniewska / Jessica Steffen,,,One Jeeves,5.0,,0,YES,,,,block possiblity to add new records localy in posting templates programs,Posting templates are global and should not be modified localy,
DUPLICATED,2018-04-12,Elena Zhang,,,CJ,5.0,,0,YES,,,,China facotry sales calculation to be done on PC5 and not BC asles,Calculation in SZV is not ok according to the BC model set by the Group,
ON HOLD,2018-05-17,Olivier Pedroncini,,,QV,,40.0,2400,to be discussed further,,,,split of stock provision by the pipe,Stock transaction (deliveries) are not connected to sales market so there is no possibility to split stock by the PIPE but in spite of that WEST is pushing to have this kind of split - final solution needed - rule or development,
INVESTIGATION,2018-05-18,Kinga Lesniewska,,,1J/QV,3.0,16.0,960,to be discussed further,,2018-12-01,,move of report customer invoices from XRB to QV,One Jeeves cleaning - report is not often used,
INVESTIGATION,2018-05-18,Kinga Lesniewska,,,QV,3.0,12.0,720,investigated more,,2018-12-01,,AR info send by mail form Ar aged report in QV,"to limit use of queries, limit use of Ar report in 1J , make analizing of Ar easier (collection); fulfill request conected with acces to FH program; save time for finace who is distributing this info manualy to customer service",
ON HOLD,2018-05-18,Olivier Pedroncini,,,QV,4.0,20.0,1200,YES,,,,Report for spliting additional cost by PIPE,When additional cost are added by factory in ICT drop shipment flow they are posted in HUb under supplier invoice as a cost. 1600 team want to split the cost to markets by the PIPE - to do this they need to have report showing conection of Supplier invoice with CO,
IN PROGRESS,2018-06-14,Olivier Pedroncini,Eva Wennborg,HL Display France SAS (+ SASU DESIGN),1J,4.0,,0,YES,,2018-12-01,,setup in 1600 possiblity of import bank files with incoming and outgoing payments,speed up the proces of registration of bank ststements,
INVESTIGATION,2018-06-15,Olivier Pedroncini,Eva Wennborg,,QV  ,4.0,,0,YES/NO,,2018-12-01,,changes with QV stock provision report,,https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/Delade%20dokument/CAB/RFC/Open/RFC%20-%20%20stock%20depreciation%20V2.docx?d=w044adae2c6ec453c87b7dbf20b2c1ba7&csf=1&e=hB1cbM
OPEN,2018-06-28,Aleksandra Cieloch,Eva Wennborg,1800/1810/1190,1J,4.0,,0,YES ,,2018-12-01,,"possiblity to import bank statements files into Jeeves (use NOBI if possible) for 1190,1810,1800",simplification and time saving - 2h per day; probably no development needed - just a setup in the system,"https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/Delade%20dokument/CAB/RFC/Open/RFC%20-%20%20import%20of%20bank%20statements%20to%20Jeeves%201810,%201190,%201800.docx?d=w8ece6982c2474008b13553ecd5136559&csf=1&e=FDrADv"
IN PROGRESS,2018-07-04,Olivier Pedroncini,Eva Wennborg,,QV,4.0,12.0,720,YES,,2018-11-01,,change in aged Ap report conected with the way how advance supplier invoices are shown,correctnes of the report - at the moment invoices posted with posting template ADV are wrongli shown,https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/Delade%20dokument/CAB/RFC/Open/RFC%20-%20QV%20report%20account%20payable.docx?d=wd32ae6ff44c64acab3ebf23dcdd432bb&csf=1&e=NXvIkx
ON HOLD,2018-07-04,Olivier Pedroncini,,,1J,4.0,48.0,2880,ON HOLD,,,,additional costs should be added to PO automatycaly in ICt flow and splited between Po rows diuring delivery insted of posting directly to P&L trought supplier invoice,legale deamnd of adding this kind of cost to stock value - today it is handled manualy,https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/Delade%20dokument/CAB/RFC/Open/RFC%20-%20extra%20costs%20treatment.docx?d=w0c5ea58c5f274aec919c2b4cbfd7d60b&csf=1&e=1VYXcu
OPEN,2018-09-14,Kinga Lesniewska,Eva Wennborg,,1J/QV,3.0,16.0,960,YES,,2019-12-31,,Balance sheet report - move from xrb to QV,"move all fin reports to QV - continuation of project started 2 years ago by Marcin Minkina flexiblity - QV gives possiblity to dril down to transaction level, easier export to excel ect",
OPEN,2018-09-14,Kinga Lesniewska,Eva Wennborg,,1J/QV,3.0,16.0,960,YES,,2019-12-31,,Income statement report - move from xrb to QV,"move all fin reports to QV - continuation of project started 2 years ago by Marcin Minkina flexiblity - QV gives possiblity to dril down to transaction level,easier export to excel ect",
OPEN,2018-09-14,Kinga Lesniewska,Eva Wennborg,,1J/QV,3.0,8.0,480,YES,,2019-12-31,,Opex report - move from xrb to QV,"move all fin reports to QV - continuation of project started 2 years ago by Marcin Minkina flexiblity - QV gives possiblity to dril down to transaction level, easier export to excel ect",
