Status,Date,Requested By,Approved By,HL Unit,Product,Prio,Est Dev (hrs),Est Cost (EUR),Decision,Decision date,Est Deliv Date,Feature ID,Description,Justification,RFC Link
ON HOLD,2018-08-08,Kinga Szyguła,,Costs info in comment,OneJeeves,4,40.0,2400,onhold,2019-12-16,,,"Picking MO -  1. Add ""picked by"" field in MRU2 and MRU3 2. Create report funct. in MRU3 that 1 picker picked all components.  3. Create reporting funct. in MRU2 who picked each row. ",Decision Supporting. WH will be able to trace picking productivity of employees. Operators are today being tracked based on the production productivity but not MO pickers. ,https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/_layouts/15/Doc.aspx?sourcedoc=%7BCBDA8E27-ED19-4516-AF70-3AD684F42D66%7D&file=RFC%20-%20picking%20MO%20-%20Kinga%20Szygula.docx&action=default&mobileredirect=true
ON HOLD,2018-08-27,Stephane Carrivain,,,OneJeeves,4,16.0,960,onhold,2019-12-16,,,"(CUBE) Performance indicator MO- We need these fields, Mo number, jeeves number, description, qty, item group, flow group, manufacturing group, mo/works orders status, created date, start date, ready date, inbound date, gross purch price curr, unit time. Per week or per week statistics when necessary.",With the new ISO version that we want to get it – it will be necessary for each processus described to get a performance indicator.   This should already exist ,https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/_layouts/15/Doc.aspx?sourcedoc=%7BF7EA0680-D518-421B-ACB0-A5D97A69F606%7D&file=RFC%20-%20Performance%20indicator%20MO%20-%20Stephane%20Carrivain.docx&action=default&mobileredirect=true
ON HOLD,,Ida Modigh,,,Current Jeeves,3,4.0,240,Discus at Pree Study SDL,,,,We have decided to reduce the quantity of acquisition methods in Sundsvalls jeeves as a preparation for going over to One Jeeves.To do this we will have to change the acquisition method on some items. I have created a list with 2900 items where this needs to be changed.To do this we will have to change the acquisition method on some items. I have created a list with 2900 items where this needs to be changed.On the list you can see the metod that is current and the one it should be changed into. I have marked the column in yellow that it should be changed to.,It will help us clean up the system in preparation for one jeeves.,
ON HOLD,2018-07-10,Agnieszka Dudek ,,,OneJeeves,4,24.0,1440,onhold,,,,Automatic information about the change of the planning of the MO to the customer officer of the linked order / if any change is made after the order had been confirmed to the customer Change of e.g ready date.,Improvement of communication with the customers and between departments.  ,
IN PROGRESS,2018-04-12,Elena Zhang,Benno Eliasson,HL Display AB - Finance,CJ,5,24.0,1440,YES,2019-08-27,2021-04-20,7625,China factory sales calculation to be done on PC5 and not BC sales,Calculation in SZV is not ok according to the BC model set by the Group,https://hldisplay.sharepoint.com/:w:/s/itdocumentationrepository/EUxc74rT5ylJrYzSSvRlvYkBMkNIRspYl4ehJklxP-cf7w?e=7E5biU
IN PROGRESS,2018-10-17,Stephen Mepsted,Lennart Johansson,HL Display Harlow Ltd,1J,4,54.0,3240,yes,2020-09-23,2021-03-01,8211 8212 8213 8214,Kanban hybrid,,3 LINKS BELOW  https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/_layouts/15/Doc.aspx?sourcedoc=%7BEAF0FD61-BAD9-43B3-ADE3-7D2D93F8C4B7%7D&file=RFC%20-%20Kanban%20Hybrid%20-%20Stephen%20Mepsted.docx&action=default&mobileredirect=true  https://hldisplay.sharepoint.com/:x:/r/sites/itdocumentationrepository/_layouts/15/Doc.aspx?sourcedoc=%7B26F9E351-679B-4FFE-850D-AF48E3FAFAF3%7D&file=RFC%20-%20Kanban%20Hybrid%20-%20Stephen%20Mepsted%20(attachment%202).xlsx&action=default&mobileredirect=true  https://hldisplay.sharepoint.com/:x:/r/sites/itdocumentationrepository/_layouts/15/Doc.aspx?sourcedoc=%7B26f9e351-679b-4ffe-850d-af48e3fafaf3%7D&action=default&uid=%7B26F9E351-679B-4FFE-850D-AF48E3FAFAF3%7D&ListItemId=12005&ListId=%7B61E1BBBF-F99F-4B52-83FD-E4342D62EA17%7D&odsp=1&env=prod
ON HOLD,2019-09-06,Katarzyna Zelwor,,HL Display Gliwice Sp z.o.o,1J,5,16.0,960,onhold,2019-12-16,,,New value calculate in field MOQ,Costs and logistics process optimization. Due to change of items assembly and settings we need to change all the data in operations and logistics data. ,https://hldisplay.sharepoint.com/:w:/s/itdocumentationrepository/EStZVP7CGRxJjoql_TFMnxQBtyG18LmnQfv4-Q9LfB6Utw?e=OE5kjA
INVESTIGATION,2020-02-17,Mateusz Nicota,,HL Display Gliwice Sp z.o.o,1J,4,16.0,960,investigation,2020-03-16,,,At present Gliwice factory use quality blocked inventory batch  for products which are stored outside Gliwice factory. By blocking goods on separate batch system generate requisitions and orders as a goods needs to be produce or ordered. We need new status for example external warehouse thanks which system will be aware that new manufacture or purchase orders are not needed. ,"Thanks that feature we will improve time for manufacturing and purchasing orders cancellation, eliminate mistakes made by manual management. This functionality can be used within all factories and hubs . ",https://hldisplay.sharepoint.com/:w:/s/itdocumentationrepository/EZm_vEAcsq5KgpKKOjUvhpMB2Wek-JEhGGp0er1ZQjNs9A?e=W52bg4
INVESTIGATION,2018-08-13,Katarzyna Zelwor,,HL Display Gliwice Sp z.o.o,LOCAL APP,4,,0,investigation,2020-09-23,,,Replace/upgrade Plattnet,"Constant problems, we need a more stable solution",https://hldisplay.sharepoint.com/:w:/r/sites/itdocumentationrepository/Delade%20dokument/CAB/RFC/10.%20Open%20and%20New/Production/RFC%20Plattnet.docx?d=wb6f1eaeb227d4401a3787cfe65a30fd1&csf=1&web=1&e=oC4yO4
IN PROGRESS,2020-09-03,Hakan Tjernberg,Lennart Johansson,HL Display Sundsvall AB,ERP2 SDL,5,28.0,1680,yes,2020-09-23,2020-12-01,8134,"We have a lot of our customers requesting additional labeling on the products they are buying from us.  Tesco and SES are close examples. To be able to handle this, we need a possibility to design and print out customer designed labels. The printouts needs to be connected to items or orders in Jeeves to have an automated process to get the print-out for customer labels together with normal production labels.  ","•	Increasing customer demand for special designed labels, especially from large customers •	Help us in the work to get “easy to do business with” •	Higher quality due to an automated process. •	Less administration  ",https://hldisplay.sharepoint.com/:w:/s/itdocumentationrepository/ETzCK8mdjQJDlqrNpgUrtUsBLJYIgcegPF0i8UQz50Gasg?e=Zb7rsY
